,ID,Congressional District,Call Date,Disposition,Q1
537,51721,13,09/28/2020,Bad Number,Undecided
538,42125,11,09/28/2020,Bad Number,Undecided
539,35728,10,09/28/2020,Left Message,Undecided
540,136953,12,10/01/2020,Left Message,Undecided
541,102610,13,09/30/2020,Bad Number,Undecided
542,21904,1,10/01/2020,Wrong Number,Undecided
543,90539,10,09/30/2020,Answered,No
544,47632,12,09/28/2020,Left Message,Undecided
545,44515,12,09/28/2020,Answered,Undecided
546,64150,9,09/29/2020,Left Message,Undecided
547,19334,1,09/30/2020,Left Message,Undecided
548,65604,9,09/29/2020,Bad Number,Undecided
549,85432,8,09/30/2020,Answered,Refused
550,64033,9,09/29/2020,Left Message,Undecided
